store_code	id	quantity	availability
GFG-LE1	16359727_76820526	1	in_stock
GFG-LE1	16359727_76820527	1	in_stock
GFG-LE1	16359727_76820528	1	in_stock
GFG-LE1	17038080_67092065	0	out_of_stock
GFG-LE1	17038080_67092066	1	in_stock
GFG-LE1	17038080_67092067	1	in_stock
GFG-LE1	17038080_67092068	1	in_stock
GFG-LE1	17038080_67092069	1	in_stock
GFG-LE1	17038080_67092070	1	in_stock
GFG-LE1	17038080_67092071	1	in_stock
GFG-LE1	17038080_67092072	1	in_stock
GFG-LE1	17038080_67092073	1	in_stock
GFG-LE1	17038080_67092074	1	in_stock
GFG-LE1	17038080_67092075	1	in_stock
GFG-LE1	17559223_80088457	1	in_stock
GFG-LE1	17559223_80088458	1	in_stock
GFG-LE1	17559223_80088459	1	in_stock
GFG-LE1	17559223_80088460	1	in_stock
GFG-LE1	17559223_80088461	1	in_stock
GFG-LE1	17559223_80088462	1	in_stock
GFG-LE1	17559223_80088463	1	in_stock
GFG-LE1	17559223_80088464	1	in_stock
GFG-LE1	17559223_80088465	1	in_stock
GFG-LE1	17559223_80088466	1	in_stock
GFG-LE1	17559223_80088467	1	in_stock
GFG-LE1	17559223_80088468	1	in_stock
GFG-LE1	17559223_80088469	1	in_stock
GFG-LE1	17559223_80088470	1	in_stock
GFG-LE1	17559223_80088471	1	in_stock
GFG-LE1	17559223_80088472	1	in_stock
GFG-LE1	17559223_80088473	1	in_stock
GFG-LE1	17559223_80088474	1	in_stock
GFG-LE1	17559223_80088475	1	in_stock
GFG-LE1	17559223_80088476	1	in_stock
GFG-LE1	17559223_80088477	1	in_stock
GFG-LE1	17559223_80088478	1	in_stock
GFG-LE1	17559223_80088479	1	in_stock
GFG-LE1	17559223_80088480	1	in_stock
GFG-LE1	17559223_80088481	1	in_stock
GFG-LE1	17559223_80088482	1	in_stock
GFG-LE1	17559223_80088483	1	in_stock
GFG-LE1	17559223_80088484	1	in_stock
GFG-LE1	17559223_80088485	1	in_stock
GFG-LE1	17559223_80088486	1	in_stock
GFG-LE1	17559223_80088487	1	in_stock
GFG-LE1	17559223_80088488	1	in_stock
GFG-LE1	17559223_80088489	1	in_stock
GFG-LE1	17559223_80088490	1	in_stock
GFG-LE1	17559223_80088491	1	in_stock
GFG-LE1	17559223_80088492	1	in_stock
GFG-LE1	17559223_80088493	1	in_stock
GFG-LE1	17559223_80088494	1	in_stock
GFG-LE1	17559223_80088495	1	in_stock
GFG-LE1	17609832_74135166	1	in_stock
GFG-LE1	17609832_74135167	1	in_stock
GFG-LE1	17609832_74135168	1	in_stock
GFG-LE1	17609832_74135169	1	in_stock
GFG-LE1	17609832_74135170	1	in_stock
GFG-LE1	17609832_74135171	1	in_stock
GFG-LE1	17609832_74135172	1	in_stock
GFG-LE1	17609832_74135173	1	in_stock
GFG-LE1	17609832_74135174	1	in_stock
GFG-LE1	18127532_80615970	1	in_stock
GFG-LE1	18127532_80615971	1	in_stock
GFG-LE1	18127532_80615972	1	in_stock
GFG-LE1	18127532_80615973	1	in_stock
GFG-LE1	18127532_80615974	1	in_stock
GFG-LE1	18127532_80615975	1	in_stock
GFG-LE1	18127532_80615976	1	in_stock
GFG-LE1	18127532_80615977	1	in_stock
GFG-LE1	18127532_80615978	1	in_stock
GFG-LE1	18127532_80615979	1	in_stock
GFG-LE1	18127532_80615980	1	in_stock
GFG-LE1	18127532_80615981	1	in_stock
GFG-LE1	18127532_80615982	1	in_stock
GFG-LE1	18127532_80615983	1	in_stock
GFG-LE1	18127532_80615984	1	in_stock
GFG-LE1	18127532_80615985	1	in_stock
GFG-LE1	18127532_80615986	1	in_stock
GFG-LE1	18127532_80615987	1	in_stock
GFG-LE1	18127532_80615988	1	in_stock
GFG-LE1	18127532_80615989	1	in_stock
GFG-LE1	18286923_63348095	1	in_stock
GFG-LE1	18286923_63348096	1	in_stock
GFG-LE1	18286923_63348097	1	in_stock
GFG-LE1	19434543	1	in_stock
GFG-LE1	20179671_85971546	1	in_stock
GFG-LE1	20179671_85971547	1	in_stock
GFG-LE1	18104465	1	in_stock
GFG-LE1	9284856	0	out_of_stock
GFG-LE1	13562392	1	in_stock
GFG-LE1	13612940	0	out_of_stock
GFG-LE1	11393982	0	out_of_stock
GFG-LE1	12023802	1	in_stock
GFG-LE1	12023792	0	out_of_stock
GFG-LE1	12023801	0	out_of_stock
GFG-LE1	12023803	0	out_of_stock
GFG-LE1	13366113	1	in_stock
GFG-LE1	13316130	0	out_of_stock
GFG-LE1	13366574	0	out_of_stock
GFG-LE1	15028187	1	in_stock
GFG-LE1	13366103	0	out_of_stock
GFG-LE1	13366105	0	out_of_stock
GFG-LE1	13787211	1	in_stock
GFG-LE1	13787212	1	in_stock
GFG-LE1	13787213	1	in_stock
GFG-LE1	13787214	1	in_stock
GFG-LE1	13787215	1	in_stock
GFG-LE1	10656024	1	in_stock
GFG-LE1	13622212	0	out_of_stock
GFG-LE1	13622228	1	in_stock
GFG-LE1	14356478	0	out_of_stock
GFG-LE1	13539413	1	in_stock
GFG-LE1	11676418	1	in_stock
GFG-LE1	12656900	0	out_of_stock
GFG-LE1	12788752	0	out_of_stock
GFG-LE1	13996882	0	out_of_stock
GFG-LE1	12846695	0	out_of_stock
GFG-LE1	13539458	1	in_stock
GFG-LE1	13402373	0	out_of_stock
GFG-LE1	13402377	0	out_of_stock
GFG-LE1	13402383	0	out_of_stock
GFG-LE1	13402391	0	out_of_stock
GFG-LE1	13757508	0	out_of_stock
GFG-LE1	13407592	0	out_of_stock
GFG-LE1	13561745	0	out_of_stock
GFG-LE1	12725849	1	in_stock
GFG-LE1	15196299	1	in_stock
GFG-LE1	13997438	1	in_stock
GFG-LE1	12656841	1	in_stock
GFG-LE1	12656893	1	in_stock
GFG-LE1	12656890	1	in_stock
GFG-LE1	12656848	1	in_stock
GFG-LE1	13080446	1	in_stock
GFG-LE1	12656892	1	in_stock
